epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.0883427324749175,1.0773685737089678,0.34285714285714286,0.36363636363636365
2,1.073014886038644,1.0654574199156328,0.4,0.36363636363636365
3,1.0582368737175352,1.0524192398244685,0.5047619047619047,0.5
4,1.0425801833470663,1.037307078188116,0.5523809523809524,0.5
5,1.0251993951343354,1.02057899128307,0.580952380952381,0.6363636363636364
6,1.0048688525245304,1.0018825747750022,0.6190476190476191,0.6363636363636364
7,0.9836257582619077,0.9814904765649275,0.6476190476190476,0.6363636363636364
8,0.9606931402569725,0.9589154070073908,0.6666666666666666,0.6363636363636364
9,0.9357001157034011,0.9345859993587841,0.6666666666666666,0.6363636363636364
10,0.9089682970728193,0.9082072377204895,0.6857142857142857,0.7272727272727273
11,0.8801886899130685,0.8801596110517328,0.7333333333333333,0.7272727272727273
12,0.8502760671433949,0.8507471897385337,0.7523809523809524,0.7272727272727273
13,0.818504334063757,0.8202085115692832,0.780952380952381,0.7272727272727273
14,0.7853238565581185,0.7885871096090837,0.780952380952381,0.7272727272727273
15,0.752646793637957,0.7554495930671692,0.780952380952381,0.7272727272727273
16,0.7175901066689264,0.7223698117516257,0.8,0.7727272727272727
17,0.6832089480899629,0.6893708055669611,0.819047619047619,0.7727272727272727
18,0.6500710646311442,0.6563223004341125,0.8285714285714286,0.7727272727272727
19,0.6169422424974895,0.6248234022747386,0.8285714285714286,0.7727272727272727
20,0.5865666213489714,0.5949482430111278,0.8285714285714286,0.7727272727272727
21,0.5570055246353149,0.5673813846978274,0.8285714285714286,0.8181818181818182
22,0.5303347916830153,0.5425578572533347,0.8285714285714286,0.8636363636363636
23,0.5063668483779544,0.5205611071803353,0.8285714285714286,0.8636363636363636
24,0.48364397911798385,0.49971955201842566,0.8380952380952381,0.8636363636363636
25,0.46342429490316484,0.48099979758262634,0.8571428571428571,0.8636363636363636
26,0.4444095316387358,0.4641535959460519,0.8761904761904762,0.8636363636363636
27,0.4274868919735863,0.44910184090787714,0.8761904761904762,0.8636363636363636
28,0.4116807815574464,0.4350904253396121,0.8666666666666667,0.8636363636363636
29,0.3977464741184598,0.42294094237414276,0.8761904761904762,0.8636363636363636
30,0.38367118324552263,0.4111785048788244,0.8952380952380953,0.8636363636363636
31,0.37145790457725525,0.4008957120505246,0.8952380952380953,0.8636363636363636
32,0.35859009878976006,0.3913133279843764,0.9047619047619048,0.8636363636363636
33,0.34788090473129635,0.38185194676572626,0.9047619047619048,0.8636363636363636
34,0.33650636956805274,0.3736692856658589,0.9047619047619048,0.8636363636363636
35,0.3265725255012512,0.36610831862146204,0.9142857142857143,0.8636363636363636
36,0.3169709079322361,0.35911062224344775,0.9238095238095239,0.8636363636363636
37,0.3080438528742109,0.3523183451457457,0.9238095238095239,0.8636363636363636
38,0.2997169633706411,0.34536692906509747,0.9238095238095239,0.8636363636363636
39,0.29138308422906056,0.33914705975489184,0.9238095238095239,0.8636363636363636
40,0.2835143885442189,0.333787737922235,0.9238095238095239,0.8636363636363636
41,0.2763563502402533,0.3285891522060741,0.9238095238095239,0.8636363636363636
42,0.26902379649026054,0.32375104454430664,0.9238095238095239,0.8636363636363636
43,0.26246139577456884,0.3185389380563389,0.9238095238095239,0.8636363636363636
44,0.25596294147627696,0.31465245241468603,0.9238095238095239,0.8636363636363636
45,0.24939309784344266,0.31000892276113684,0.9238095238095239,0.8636363636363636
46,0.24400197721662975,0.30625993690707465,0.9238095238095239,0.8636363636363636
47,0.23791112445649645,0.3010683046145873,0.9238095238095239,0.8636363636363636
48,0.23240854229245866,0.297410634430972,0.9238095238095239,0.9090909090909091
49,0.22696052520048052,0.2931912311098792,0.9238095238095239,0.9090909090909091
50,0.22183151213186128,0.290030453692783,0.9238095238095239,0.9090909090909091
